Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
53.0,0,3,8.0,3,0,2,4.0,3,4.0,1,3.0,0,1,1,0.0,3,22525.0,0
29.0,0,3,14.0,2,1,3,4.0,1,5.0,3,2.0,0,3,1,2.0,2,23576.0,0
39.0,1,1,15.0,3,1,2,3.0,1,5.0,1,2.0,0,4,1,0.0,2,20151.0,0
46.0,1,3,9.0,2,1,4,4.0,1,4.0,1,2.0,0,5,1,3.0,2,23483.0,0
35.0,1,1,14.0,2,0,3,4.0,3,4.0,2,2.0,0,3,1,1.0,3,30672.0,0
35.0,0,3,9.0,3,0,4,4.0,0,3.0,1,8.0,0,5,0,1.0,1,20909.0,0
33.0,0,1,7.0,2,0,4,5.0,0,4.0,1,8.0,0,3,0,3.0,1,21010.0,0
29.0,0,1,16.0,2,0,2,4.0,0,3.0,3,2.0,0,4,1,0.0,1,21623.0,1
41.0,0,3,16.0,2,1,2,3.0,1,3.0,2,1.0,0,1,0,1.0,2,21230.0,0
43.0,1,1,36.0,3,1,3,6.0,1,3.0,3,6.0,0,3,1,1.0,2,22950.0,0
35.0,0,3,13.0,3,0,3,6.0,0,3.0,1,2.0,0,4,0,2.0,1,21029.0,1
41.0,1,3,12.0,2,0,3,3.0,3,3.0,2,4.0,1,1,0,0.0,3,28591.0,0
33.0,1,1,6.0,2,0,2,4.0,1,3.0,3,1.0,0,4,0,0.0,2,21949.0,0
40.0,0,1,15.0,3,0,2,3.0,3,3.0,3,1.0,0,4,0,0.0,3,28499.0,0
26.0,0,1,9.0,1,1,3,3.0,0,5.0,2,1.0,0,3,0,1.0,1,18102.0,1
41.0,1,1,25.0,2,1,2,3.0,1,5.0,1,3.0,0,1,0,0.0,2,18072.0,0
37.0,0,1,17.0,2,1,2,3.0,3,3.0,1,2.0,1,3,0,1.0,3,27185.0,0
31.0,1,3,13.0,2,1,2,4.0,0,3.0,1,4.0,0,4,1,1.0,1,17329.0,0
45.0,1,3,8.0,2,1,3,6.0,1,4.0,2,8.0,0,3,0,2.0,2,21040.0,1
33.0,0,1,9.0,2,1,3,3.0,0,5.0,2,2.0,1,5,1,2.0,1,18348.0,1
33.0,1,1,9.0,3,0,4,4.0,0,4.0,0,3.0,0,4,0,1.0,1,21048.0,0
33.0,1,1,14.0,2,1,3,3.0,1,3.0,3,3.0,1,3,0,2.0,2,21388.0,0
30.0,1,3,18.0,1,0,2,3.0,1,3.0,3,1.0,0,2,1,0.0,2,21577.0,0
42.0,0,1,25.0,3,1,2,2.0,0,3.0,1,7.0,1,3,1,1.0,1,17759.0,1
46.0,1,1,8.0,2,1,2,3.0,4,3.0,1,7.0,0,5,1,0.0,0,32861.0,0
51.0,1,1,16.0,2,1,4,4.0,0,3.0,1,6.0,0,5,1,3.0,1,21058.0,0
30.0,1,1,8.0,2,0,2,5.0,1,3.0,2,3.0,0,1,1,0.0,2,21091.0,0
37.0,0,1,25.0,2,1,3,3.0,0,3.0,0,6.0,0,5,0,1.0,1,22366.0,0
28.0,0,2,6.0,2,1,2,3.0,0,3.0,1,2.0,0,4,0,1.0,1,17706.0,0
42.0,1,1,12.0,3,1,2,3.0,3,5.0,1,1.0,0,3,1,0.0,3,28348.0,0
44.0,1,1,10.0,3,1,2,3.0,1,4.0,2,1.0,0,2,1,0.0,2,20933.0,0
39.0,0,1,9.0,3,0,3,5.0,0,4.0,2,3.0,0,1,1,1.0,1,21118.0,0
42.0,1,1,23.0,2,0,2,2.0,1,5.0,3,4.0,1,2,0,0.0,2,21545.0,0
39.0,0,1,28.0,3,0,2,3.0,3,5.0,3,2.0,1,5,1,1.0,3,25880.0,0
28.0,0,1,6.0,2,0,2,5.0,1,3.0,0,1.0,0,3,1,0.0,2,21674.0,0
43.0,1,1,20.0,2,1,3,3.0,4,5.0,1,7.0,0,5,1,1.0,0,32159.0,0
45.0,1,1,22.0,3,0,4,4.0,3,3.0,0,3.0,0,3,0,2.0,3,26656.0,1
53.0,1,1,13.0,1,1,4,4.0,1,5.0,1,5.0,1,4,1,2.0,2,24255.0,0
42.0,1,1,16.0,2,1,4,4.0,0,5.0,1,4.0,0,1,0,1.0,1,20916.0,0
36.0,1,1,33.0,3,1,3,3.0,1,3.0,0,7.0,0,3,1,0.0,2,20237.0,0
22.0,1,1,7.0,1,0,4,5.0,0,4.0,2,3.0,1,5,0,3.0,1,20748.0,0
37.0,1,1,12.0,2,1,4,4.0,1,4.0,3,2.0,0,2,0,3.0,2,24592.0,0
30.0,0,3,20.0,1,0,3,4.0,1,4.0,3,7.0,0,3,0,2.0,2,24443.0,1
36.0,0,1,18.0,3,1,4,5.0,3,5.0,1,4.0,1,5,1,3.0,3,28562.0,0
40.0,1,1,10.0,3,0,2,3.0,2,3.0,0,2.0,0,5,0,1.0,4,34033.0,0
51.0,0,1,14.0,2,1,2,5.0,3,3.0,3,3.0,0,2,0,1.0,3,25650.0,1
39.0,1,3,7.0,2,1,3,5.0,0,5.0,3,6.0,0,3,0,2.0,1,21536.0,0
43.0,1,1,18.0,2,1,2,4.0,4,4.0,1,2.0,0,3,0,1.0,0,29336.0,0
35.0,1,1,10.0,2,1,3,3.0,0,3.0,1,2.0,0,4,0,0.0,1,16951.0,0
40.0,0,1,9.0,1,0,4,4.0,3,3.0,2,2.0,0,2,1,2.0,3,29616.0,0
27.0,1,3,17.0,3,1,3,4.0,1,3.0,3,3.0,0,1,0,1.0,2,23362.0,0
26.0,0,1,8.0,2,1,2,3.0,0,5.0,0,7.0,1,5,1,0.0,1,17042.0,1
43.0,0,3,32.0,2,1,3,3.0,4,3.0,0,2.0,1,2,0,0.0,0,31959.0,0
32.0,1,1,18.0,3,1,4,4.0,1,5.0,0,3.0,1,2,0,3.0,2,25511.0,0
35.0,1,1,12.0,3,0,3,5.0,3,5.0,2,4.0,0,2,0,1.0,3,30309.0,0
34.0,1,1,11.0,3,0,3,5.0,0,4.0,1,8.0,0,4,0,2.0,1,21300.0,0
31.0,1,1,14.0,2,0,2,4.0,0,4.0,2,2.0,0,4,0,1.0,1,16261.0,1
35.0,1,3,16.0,2,0,4,4.0,1,3.0,1,3.0,0,1,0,1.0,2,24392.0,0
42.0,0,3,16.0,2,1,3,6.0,4,3.0,1,2.0,0,5,1,2.0,0,24829.0,1
34.0,1,1,14.0,2,0,2,3.0,1,5.0,1,4.0,0,5,1,1.0,2,20121.0,0
34.0,1,1,9.0,2,0,3,4.0,0,5.0,0,2.0,0,3,1,1.0,1,21385.0,1
34.0,1,1,13.0,2,0,2,3.0,3,4.0,3,1.0,0,3,1,0.0,3,26994.0,0
39.0,1,1,36.0,1,1,3,4.0,1,3.0,0,5.0,0,2,0,2.0,2,24939.0,0
29.0,1,1,12.0,1,1,3,4.0,0,3.0,3,3.0,1,1,0,1.0,1,22119.0,1
35.0,0,1,8.0,3,1,2,3.0,1,3.0,1,3.0,0,3,0,1.0,2,20762.0,0
26.0,1,3,10.0,3,1,2,4.0,1,3.0,2,2.0,1,2,1,1.0,2,20828.0,1
37.0,1,1,10.0,2,0,3,4.0,0,3.0,1,7.0,0,2,1,1.0,1,21513.0,0
35.0,0,1,16.0,2,1,4,4.0,1,5.0,1,6.0,0,3,0,2.0,2,24024.0,1
40.0,0,1,9.0,2,1,3,4.0,4,3.0,1,2.0,0,3,1,1.0,0,30847.0,1
33.0,1,3,11.0,3,0,2,3.0,0,3.0,2,2.0,1,2,1,0.0,1,17851.0,1
38.0,1,3,15.0,3,1,3,4.0,0,4.0,0,1.0,0,4,0,0.0,1,17899.0,0
33.0,0,1,20.0,2,0,4,5.0,0,4.0,1,3.0,0,5,1,1.0,1,21421.0,0
29.0,1,1,6.0,2,0,2,4.0,0,5.0,0,2.0,1,2,0,0.0,1,17319.0,1
34.0,1,1,14.0,3,1,3,4.0,3,3.0,1,2.0,0,4,1,1.0,3,30369.0,0
36.0,1,3,24.0,2,1,4,4.0,1,5.0,0,5.0,1,3,1,2.0,2,27644.0,0
23.0,1,3,8.0,1,1,3,3.0,0,5.0,1,4.0,0,3,1,1.0,1,17322.0,0
61.0,1,1,14.0,2,0,3,4.0,2,5.0,0,7.0,0,5,0,1.0,4,38244.0,0
55.0,0,3,8.0,2,0,2,4.0,0,3.0,2,1.0,0,5,0,0.0,1,28577.0,1
61.0,0,3,35.0,3,0,4,5.0,3,5.0,0,6.0,0,2,1,1.0,3,28944.0,0
28.0,0,3,7.0,3,1,4,4.0,1,4.0,1,2.0,1,1,0,2.0,2,25027.0,0
36.0,0,1,17.0,2,1,3,4.0,1,4.0,3,2.0,0,4,1,1.0,2,21499.0,0
41.0,0,3,35.0,2,1,3,6.0,3,5.0,1,5.0,0,5,1,1.0,3,29610.0,0
33.0,1,1,9.0,3,0,4,3.0,1,3.0,3,2.0,0,3,1,3.0,2,23733.0,0
40.0,1,1,8.0,2,1,2,4.0,0,3.0,2,3.0,0,5,0,1.0,1,17809.0,0
31.0,0,1,10.0,2,1,3,4.0,0,3.0,0,6.0,0,3,0,2.0,1,20775.0,0
39.0,1,1,7.0,1,0,4,4.0,3,5.0,1,3.0,0,4,1,2.0,3,32260.0,0
28.0,0,1,30.0,1,1,3,4.0,3,5.0,3,2.0,0,1,1,1.0,3,23722.0,1
30.0,0,1,9.0,2,0,4,4.0,0,4.0,0,2.0,0,5,0,3.0,1,21858.0,0
52.0,0,1,31.0,3,0,2,4.0,4,3.0,0,4.0,0,5,0,1.0,0,28826.0,0
22.0,1,3,19.0,2,0,3,3.0,0,4.0,3,3.0,0,5,0,2.0,1,21394.0,1
27.0,1,3,14.0,3,0,2,3.0,1,4.0,1,2.0,0,1,0,1.0,2,21214.0,0
45.0,1,1,17.0,2,1,4,4.0,0,3.0,3,3.0,1,3,1,1.0,1,21614.0,1
36.0,1,3,16.0,3,1,2,4.0,3,5.0,1,1.0,0,5,0,0.0,3,22094.0,1
43.0,1,1,13.0,2,0,2,3.0,3,5.0,0,1.0,0,5,1,0.0,3,24985.0,0
36.0,1,1,8.0,2,0,2,3.0,1,4.0,2,1.0,1,3,1,0.0,2,20410.0,0
55.0,1,1,20.0,3,1,3,2.0,2,4.0,2,1.0,0,2,0,2.0,4,33722.0,0
56.0,1,1,30.0,2,1,3,3.0,0,3.0,2,2.0,0,3,0,0.0,1,17587.0,1
42.0,1,3,6.0,2,1,2,3.0,1,3.0,0,2.0,0,3,1,0.0,2,19907.0,0
34.0,1,3,14.0,2,0,3,3.0,1,5.0,1,6.0,0,1,1,2.0,2,21500.0,0
51.0,1,1,15.0,2,1,3,3.0,0,3.0,1,4.0,0,3,1,0.0,1,17075.0,0
40.0,1,3,11.0,2,0,3,5.0,1,3.0,0,6.0,0,5,1,1.0,2,24580.0,0
53.0,0,1,26.0,3,1,3,4.0,0,3.0,0,2.0,0,3,1,1.0,1,22936.0,0
50.0,1,1,27.0,3,0,4,4.0,1,5.0,0,3.0,0,2,1,3.0,2,25245.0,0
28.0,1,1,6.0,2,0,3,5.0,0,4.0,2,1.0,1,2,1,0.0,1,17216.0,1
38.0,1,3,23.0,3,1,4,5.0,1,3.0,1,6.0,0,5,1,3.0,2,25012.0,0
49.0,1,1,26.0,3,0,3,3.0,1,5.0,1,2.0,0,1,1,0.0,2,21567.0,0
30.0,1,2,24.0,2,1,3,5.0,3,5.0,3,3.0,0,3,0,1.0,3,26666.0,0
32.0,1,1,11.0,2,1,3,2.0,0,4.0,1,1.0,1,2,1,0.0,1,18298.0,0
31.0,1,1,7.0,2,1,3,6.0,0,3.0,0,5.0,0,4,1,1.0,1,22511.0,0
36.0,1,1,28.0,2,0,3,4.0,1,3.0,1,3.0,1,3,0,1.0,2,22692.0,0
18.0,0,3,11.0,3,1,3,3.0,0,4.0,2,2.0,1,4,1,2.0,1,16878.0,1
42.0,1,1,8.0,3,0,2,4.0,0,5.0,1,1.0,1,4,1,1.0,1,17593.0,0
25.0,1,3,17.0,3,0,4,4.0,1,3.0,1,3.0,1,1,0,1.0,2,22938.0,0
38.0,1,3,8.0,3,0,3,5.0,1,3.0,1,3.0,1,3,0,0.0,2,20405.0,0
29.0,1,1,22.0,2,1,3,4.0,0,3.0,1,3.0,0,4,1,2.0,1,20885.0,0
29.0,1,1,24.0,3,1,4,4.0,1,5.0,1,3.0,0,1,0,2.0,2,23236.0,0
29.0,1,1,27.0,2,0,2,1.0,3,5.0,1,2.0,0,5,1,1.0,3,24980.0,0
39.0,1,1,16.0,3,1,3,3.0,4,5.0,1,2.0,1,3,1,2.0,0,32068.0,0
47.0,1,1,11.0,2,1,2,3.0,2,3.0,1,5.0,0,1,1,0.0,4,33300.0,0
61.0,1,3,23.0,3,1,3,4.0,1,5.0,3,2.0,0,4,1,1.0,2,24083.0,0
33.0,1,1,9.0,1,1,4,4.0,0,5.0,2,3.0,0,1,1,2.0,1,21117.0,0
54.0,1,1,25.0,3,0,3,3.0,1,5.0,1,1.0,1,3,0,2.0,2,20485.0,0
42.0,1,3,10.0,3,1,2,3.0,1,5.0,2,1.0,0,5,1,0.0,2,20155.0,0
36.0,1,1,12.0,1,1,4,4.0,3,4.0,3,2.0,0,3,0,1.0,3,26773.0,0
34.0,1,3,14.0,2,0,3,3.0,1,5.0,0,6.0,0,2,1,0.0,2,21500.0,0
27.0,1,1,32.0,2,1,3,6.0,0,3.0,2,3.0,0,2,1,2.0,1,20971.0,1
46.0,1,3,8.0,3,0,2,3.0,2,5.0,2,4.0,0,1,1,1.0,4,33947.0,0
25.0,1,1,7.0,2,1,3,5.0,1,3.0,3,3.0,0,3,1,2.0,2,23295.0,0
24.0,1,1,19.0,2,1,4,4.0,0,3.0,3,3.0,0,5,1,1.0,1,21325.0,0
46.0,1,3,16.0,2,0,3,3.0,3,4.0,1,6.0,0,1,0,2.0,3,22314.0,1
44.0,1,3,15.0,2,1,3,4.0,0,5.0,1,4.0,0,1,1,2.0,1,34190.0,1
31.0,0,1,15.0,3,1,2,4.0,0,5.0,2,1.0,1,3,1,0.0,1,17321.0,1
41.0,0,3,10.0,3,1,2,3.0,1,4.0,3,2.0,0,3,1,0.0,2,24355.0,1
27.0,0,2,24.0,2,0,3,4.0,0,3.0,1,2.0,1,5,0,2.0,1,21419.0,1
44.0,1,3,6.0,3,0,3,3.0,1,5.0,1,6.0,1,1,1,1.0,2,20454.0,0
33.0,1,3,20.0,2,1,4,4.0,1,3.0,1,4.0,0,2,0,1.0,2,23081.0,0
37.0,1,1,6.0,1,0,2,3.0,3,3.0,3,5.0,0,5,1,1.0,3,22491.0,0
23.0,1,3,13.0,2,1,2,3.0,0,3.0,1,2.0,1,1,1,0.0,1,17275.0,1
40.0,1,1,25.0,2,1,3,4.0,1,3.0,3,2.0,0,3,0,1.0,2,23212.0,0
25.0,0,1,16.0,3,1,3,4.0,0,5.0,3,4.0,1,3,0,2.0,1,21850.0,1
37.0,1,1,20.0,2,0,3,3.0,0,5.0,1,2.0,0,4,1,0.0,1,18034.0,0
57.0,1,1,30.0,2,1,2,2.0,3,3.0,1,4.0,1,4,1,1.0,3,24439.0,0
34.0,1,1,15.0,3,0,2,4.0,3,4.0,3,2.0,0,1,1,0.0,3,23621.0,0
19.0,1,1,31.0,2,0,2,1.0,0,3.0,2,2.0,1,5,1,0.0,1,17994.0,0
43.0,0,3,8.0,2,1,3,3.0,1,3.0,1,2.0,0,3,1,2.0,2,20675.0,0
25.0,0,3,20.0,2,0,4,4.0,0,4.0,0,3.0,0,1,0,1.0,1,20711.0,0
26.0,0,1,9.0,2,1,4,2.0,1,3.0,1,3.0,0,1,0,2.0,2,23884.0,0
28.0,1,1,9.0,3,0,3,3.0,3,4.0,1,1.0,0,4,0,0.0,3,22655.0,0
25.0,1,1,30.0,3,1,3,3.0,0,3.0,0,3.0,1,4,0,2.0,1,21403.0,0
52.0,1,1,7.0,2,1,4,4.0,0,3.0,1,3.0,0,4,1,1.0,1,21401.0,0
35.0,1,1,15.0,3,1,3,2.0,1,3.0,1,4.0,0,3,0,2.0,2,23082.0,0
22.0,1,1,25.0,2,0,4,4.0,0,3.0,3,3.0,0,3,1,2.0,1,21371.0,1
40.0,1,1,13.0,2,0,3,4.0,3,4.0,3,6.0,0,3,0,2.0,3,27054.0,0
43.0,0,1,9.0,3,1,3,4.0,0,3.0,2,7.0,1,2,0,2.0,1,21193.0,0
30.0,1,1,22.0,2,0,4,6.0,0,3.0,0,2.0,1,5,1,1.0,1,20846.0,0
47.0,1,1,8.0,3,0,2,3.0,4,3.0,0,4.0,0,5,1,0.0,0,32169.0,0
50.0,1,3,18.0,3,0,3,4.0,3,3.0,0,3.0,0,4,0,2.0,3,26332.0,1
32.0,0,3,9.0,2,0,3,4.0,3,3.0,1,3.0,1,1,1,1.0,3,28530.0,0
34.0,1,3,15.0,3,1,3,4.0,1,3.0,1,2.0,0,2,1,2.0,2,25782.0,0
41.0,0,1,23.0,3,1,3,5.0,1,3.0,3,8.0,0,5,1,2.0,2,23772.0,0
30.0,1,3,15.0,3,1,2,3.0,0,3.0,2,2.0,0,5,0,0.0,1,16081.0,1
51.0,0,3,19.0,2,1,3,4.0,1,3.0,2,5.0,1,3,1,2.0,2,35558.0,1
28.0,1,3,19.0,3,0,2,3.0,1,3.0,3,4.0,1,5,1,1.0,2,24854.0,1
43.0,1,3,15.0,3,1,3,4.0,1,4.0,1,2.0,0,3,1,1.0,2,25503.0,0
30.0,1,1,35.0,2,0,4,4.0,0,3.0,1,6.0,0,5,1,1.0,1,21192.0,0
33.0,1,1,11.0,2,0,4,5.0,1,3.0,0,3.0,0,4,1,1.0,2,24840.0,0
54.0,1,3,14.0,3,0,4,5.0,3,3.0,1,2.0,1,1,0,2.0,3,29612.0,0
32.0,0,3,11.0,2,1,2,3.0,1,4.0,1,2.0,0,3,1,1.0,2,21524.0,0
39.0,1,3,17.0,2,0,4,4.0,1,3.0,1,3.0,0,4,0,3.0,2,24021.0,0
37.0,1,3,17.0,3,1,3,5.0,3,5.0,1,2.0,0,5,0,1.0,3,25772.0,1
24.0,1,1,33.0,2,1,3,4.0,0,3.0,1,3.0,0,2,1,2.0,1,21582.0,0
36.0,0,3,18.0,3,1,3,4.0,1,3.0,1,3.0,0,5,0,1.0,2,23646.0,0
36.0,1,1,32.0,2,1,3,3.0,1,3.0,1,7.0,0,3,1,0.0,2,20347.0,0
33.0,0,3,6.0,2,0,2,2.0,1,5.0,0,3.0,0,3,1,0.0,2,20376.0,0
36.0,1,3,7.0,3,1,3,4.0,1,3.0,0,2.0,0,3,1,1.0,2,23395.0,0
59.0,1,1,9.0,2,1,3,4.0,0,3.0,1,4.0,0,3,0,0.0,1,17177.0,0
51.0,1,3,35.0,3,1,3,5.0,3,5.0,1,6.0,1,5,0,1.0,3,29532.0,1
60.0,1,3,32.0,2,0,3,4.0,3,5.0,3,2.0,0,3,1,1.0,3,26315.0,0
43.0,0,1,35.0,1,0,3,5.0,1,3.0,0,2.0,0,3,0,1.0,2,23201.0,0
44.0,0,1,28.0,3,1,4,4.0,0,3.0,0,2.0,0,4,0,3.0,1,20936.0,0
45.0,1,3,35.0,3,0,3,2.0,4,3.0,0,5.0,1,2,1,2.0,0,31998.0,0
29.0,1,1,24.0,3,1,4,4.0,1,5.0,1,3.0,0,2,0,1.0,2,23236.0,0
25.0,0,1,14.0,2,0,3,4.0,0,3.0,1,3.0,1,4,0,1.0,1,21564.0,1
25.0,1,1,24.0,3,0,3,5.0,1,3.0,1,3.0,0,3,1,2.0,2,23055.0,0
42.0,0,1,14.0,2,1,3,3.0,2,3.0,1,2.0,0,5,1,1.0,4,33430.0,0
41.0,1,1,15.0,2,1,3,3.0,0,5.0,1,2.0,0,5,1,1.0,1,17289.0,0
47.0,1,3,22.0,3,1,3,6.0,1,3.0,1,8.0,1,1,0,2.0,2,22101.0,1
53.0,1,1,8.0,3,1,2,1.0,4,4.0,2,5.0,0,1,1,0.0,0,31598.0,0
35.0,1,3,22.0,3,1,3,3.0,3,4.0,1,1.0,0,1,1,1.0,3,23020.0,0
55.0,1,1,8.0,2,0,3,3.0,4,3.0,2,3.0,1,5,0,1.0,0,31659.0,0
30.0,1,1,22.0,2,0,3,5.0,1,3.0,3,2.0,1,1,1,2.0,2,22871.0,0
30.0,1,1,8.0,2,0,2,5.0,1,3.0,2,3.0,0,2,0,1.0,2,21091.0,0
47.0,1,1,15.0,2,0,3,3.0,0,3.0,2,5.0,0,3,1,0.0,1,17105.0,0
29.0,1,1,21.0,2,0,3,5.0,0,3.0,0,1.0,1,5,1,0.0,1,17168.0,0
28.0,1,1,15.0,3,0,3,3.0,0,3.0,1,6.0,0,3,1,1.0,1,17377.0,0
26.0,1,1,13.0,3,0,2,4.0,3,5.0,1,1.0,1,4,1,1.0,3,17875.0,1
59.0,0,3,6.0,2,0,2,4.0,1,3.0,2,1.0,0,5,1,0.0,2,20473.0,0
34.0,0,1,9.0,2,1,2,4.0,0,3.0,1,4.0,0,1,0,0.0,1,17979.0,0
54.0,0,3,9.0,3,0,3,5.0,3,4.0,0,4.0,0,2,0,2.0,3,26203.0,0
44.0,1,2,6.0,2,0,2,4.0,1,3.0,2,5.0,0,5,1,1.0,2,20985.0,0
45.0,1,1,9.0,2,0,4,2.0,0,3.0,0,3.0,0,4,1,1.0,1,20689.0,0
47.0,1,1,7.0,3,1,4,4.0,3,5.0,1,2.0,0,2,0,1.0,3,28074.0,0
45.0,0,1,24.0,2,1,4,6.0,0,3.0,2,4.0,0,4,1,2.0,1,20968.0,0
32.0,0,1,10.0,3,1,3,4.0,0,5.0,1,3.0,1,1,0,1.0,1,21743.0,0
59.0,0,1,22.0,2,1,3,4.0,4,3.0,1,4.0,1,1,1,1.0,0,34465.0,0
55.0,1,1,20.0,3,1,3,1.0,2,4.0,2,1.0,0,1,1,1.0,4,33722.0,0
34.0,0,1,7.0,2,0,3,2.0,1,4.0,1,3.0,1,3,1,1.0,2,24166.0,0
34.0,0,1,14.0,2,1,3,4.0,1,3.0,1,3.0,0,5,1,2.0,2,24646.0,0
35.0,1,1,6.0,2,0,2,1.0,0,3.0,2,4.0,0,3,1,1.0,1,17506.0,0
44.0,1,1,29.0,3,1,3,3.0,0,5.0,2,1.0,0,3,0,2.0,1,33213.0,1
30.0,1,1,15.0,3,1,4,5.0,1,3.0,1,3.0,1,3,1,2.0,2,23734.0,0
38.0,1,3,16.0,2,0,3,3.0,1,3.0,1,2.0,0,4,0,2.0,2,20343.0,0
33.0,1,1,12.0,2,1,3,5.0,1,3.0,3,2.0,0,1,0,2.0,2,28357.0,0
29.0,1,2,23.0,2,1,2,4.0,3,5.0,3,2.0,0,3,0,0.0,3,22988.0,0
33.0,1,1,6.0,3,0,3,1.0,4,3.0,1,5.0,0,1,1,0.0,0,31184.0,0
44.0,1,1,8.0,2,0,3,1.0,0,3.0,0,2.0,0,4,1,0.0,1,17011.0,0
46.0,1,3,16.0,3,1,4,4.0,3,5.0,1,6.0,1,2,1,1.0,3,29439.0,0
21.0,0,3,24.0,3,0,3,3.0,1,3.0,1,1.0,1,5,0,1.0,2,17625.0,1
29.0,1,1,17.0,2,0,3,4.0,1,3.0,3,5.0,0,4,1,2.0,2,22338.0,0
60.0,1,3,13.0,3,1,2,1.0,1,3.0,1,1.0,1,5,0,0.0,2,20220.0,0
29.0,1,3,16.0,2,1,3,3.0,0,3.0,2,2.0,0,4,1,0.0,1,17642.0,0
38.0,1,3,9.0,2,1,2,3.0,1,3.0,3,1.0,1,3,1,1.0,2,21861.0,0
35.0,0,3,24.0,2,1,3,3.0,3,5.0,0,2.0,0,4,1,0.0,3,24069.0,0
25.0,1,1,31.0,3,1,3,4.0,0,4.0,3,2.0,0,5,0,2.0,1,22275.0,0
34.0,1,3,17.0,3,1,3,2.0,3,3.0,1,2.0,1,4,1,2.0,3,27058.0,0
40.0,1,1,9.0,1,0,4,5.0,1,3.0,3,3.0,0,1,1,2.0,2,23231.0,0
35.0,0,1,17.0,3,1,3,4.0,3,5.0,0,3.0,1,5,1,1.0,3,24884.0,0
39.0,0,1,28.0,3,0,2,3.0,3,5.0,3,2.0,1,5,1,0.0,3,25880.0,0
37.0,1,1,13.0,3,1,1,3.0,3,3.0,2,5.0,0,1,0,0.0,3,28664.0,0
